FID,codigo,empreendimento,subeixo,tipo,orgao_responsavel,executor,unidade_federativa,municipio,investimento_previsto,observacao,estagio,data_de_referencia,geometria,count
urbanizacao.fid--370298aa_15b3a2610e3_-739c,28502,Urbanização - Burissatuba - Camaçari - BA,Habitação,Urbanização de assentamentos precários,Ministério das Cidades,Município,BA,CAMAÇARI,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-38.338873 -12.712102)),0
urbanizacao.fid--370298aa_15b3a2610e3_-739b,28504,Urbanização - Vila do Mar - 2ª fase - Fortaleza - CE,Habitação,Urbanização de assentamentos precários,Ministério das Cidades,Município,CE,FORTALEZA,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-38.55603 -3.71646)),0
urbanizacao.fid--370298aa_15b3a2610e3_-739a,28505,Urbanização - Parque Mucambinho - Sobral - CE,Habitação,Urbanização de assentamentos precários,Ministério das Cidades,Município,CE,SOBRAL,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-40.3675270080566 -3.69469404220581)),0
urbanizacao.fid--370298aa_15b3a2610e3_-7399,28506,Urbanização - Área de Risco das Margens do Riacho das Timbaúbas - Juazeiro do Norte - CE,Habitação,Urbanização de assentamentos precários,Ministério das Cidades,Município,CE,JUAZEIRO DO NORTE,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-39.299333 -7.212167)),0
urbanizacao.fid--370298aa_15b3a2610e3_-7398,28507,Urbanização - Picui - Caucaia - CE,Habitação,Urbanização de assentamentos precários,Ministério das Cidades,Município,CE,CAUCAIA,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-38.660556 -3.764996)),0
urbanizacao.fid--370298aa_15b3a2610e3_-7397,28509,Urbanização - Bairro Nova Canaã - Cariacica - ES,Habitação,Urbanização de assentamentos precários,Ministério das Cidades,Município,ES,CARIACICA,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-40.373 -20.28235)),0
urbanizacao.fid--370298aa_15b3a2610e3_-7396,28511,Urbanização - Sede do município - Águas Lindas de Goiás - GO,Habitação,Urbanização de assentamentos precários,Ministério das Cidades,Município,GO,ÁGUAS LINDAS DE GOIÁS,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-48.2445793151855 -15.7601699829102)),0
urbanizacao.fid--370298aa_15b3a2610e3_-7395,28513,Urbanização - Península Ipase - São Luís - MA,Habitação,Urbanização de assentamentos precários,Ministério das Cidades,Município,MA,SÃO LUÍS,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-44.2524604797363 -2.5310640335083)),0
urbanizacao.fid--370298aa_15b3a2610e3_-7394,28514,Urbanização - Riberão Arrudas - Contagem - MG,Habitação,Urbanização de assentamentos precários,Ministério das Cidades,Estado,MG,CONTAGEM,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-44.017836 -19.958984)),0
urbanizacao.fid--370298aa_15b3a2610e3_-7393,28518,Urbanização - Atalaia- Ipê- Carapina- Santa Efigênia- Mãe de Deus e Altinópolis - 2ª fase - Governador Valadares - MG,Habitação,Urbanização de assentamentos precários,Ministério das Cidades,Município,MG,GOVERNADOR VALADARES,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-41.9436111450195 -18.9116706848144)),0
urbanizacao.fid--370298aa_15b3a2610e3_-7392,28519,Urbanização - Diversos Bairros - Ribeirão das Neves - MG,Habitação,Urbanização de assentamentos precários,Ministério das Cidades,Município,MG,RIBEIRÃO DAS NEVES,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-44.158455 -19.751447)),0
urbanizacao.fid--370298aa_15b3a2610e3_-7391,28520,Urbanização - Vila São José - 2ª fase - Belo Horizonte - MG,Habitação,Urbanização de assentamentos precários,Ministério das Cidades,Município,MG,BELO HORIZONTE,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-43.991862 -19.901912)),0
urbanizacao.fid--370298aa_15b3a2610e3_-7390,28522,Urbanização - Loteamento Joaquim Manoel Pereira - Bodoquena - MS,Habitação,Urbanização de assentamentos precários,Ministério das Cidades,Estado,MS,BODOQUENA,--,Inclui investimento 2007 a 2010.,Em obras,30 de Junho de 2016,MULTIPOINT ((-56.670997 -20.553455)),0
urbanizacao.fid--370298aa_15b3a2610e3_-738f,28524,Urbanização - Região do Corrego Água Boa - 2ª etapa - Dourados - MS,Habitação,Urbanização de assentamentos precários,Ministério das Cidades,Município,MS,DOURADOS,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-54.841259 -22.229573)),0
urbanizacao.fid--370298aa_15b3a2610e3_-738e,28526,Urbanização - Jardim Paraiso IV - Naviraí - MS,Habitação,Urbanização de assentamentos precários,Ministério das Cidades,Município,MS,NAVIRAÍ,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-54.215552 -23.069516)),0
