FID,codigo,empreendimento,subeixo,tipo,orgao_responsavel,executor,unidade_federativa,municipio,investimento_previsto,observacao,estagio,data_de_referencia,geometria,count
quadra.fid--370298aa_15b3a2610e3_-62bf,37530,Quadras Esportivas nas Escolas - Campo Grande - MS - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Estado,MS,CAMPO GRANDE,--,,Concluído,30 de Junho de 2016,MULTIPOINT ((-54.646 -20.443)),0
quadra.fid--370298aa_15b3a2610e3_-62be,37530,Quadras Esportivas nas Escolas - Campo Grande - MS - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Estado,MS,CAMPO GRANDE,--,,Concluído,30 de Junho de 2016,MULTIPOINT ((-54.646 -20.443)),0
quadra.fid--370298aa_15b3a2610e3_-62bd,37542,Quadras Esportivas nas Escolas - Belém - PA - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Estado,PA,BELÉM,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-48.504 -1.456)),0
quadra.fid--370298aa_15b3a2610e3_-62bc,37542,Quadras Esportivas nas Escolas - Belém - PA - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Estado,PA,BELÉM,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-48.504 -1.456)),0
quadra.fid--370298aa_15b3a2610e3_-62bb,37543,Quadras Esportivas nas Escolas - Belém - PA - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Estado,PA,BELÉM,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-48.504 -1.456)),0
quadra.fid--370298aa_15b3a2610e3_-62ba,37543,Quadras Esportivas nas Escolas - Belém - PA - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Estado,PA,BELÉM,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-48.504 -1.456)),0
quadra.fid--370298aa_15b3a2610e3_-62b9,37544,Quadras Esportivas nas Escolas - Belém - PA - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Estado,PA,BELÉM,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Em licitação de obra,30 de Junho de 2016,MULTIPOINT ((-48.504 -1.456)),0
quadra.fid--370298aa_15b3a2610e3_-62b8,37544,Quadras Esportivas nas Escolas - Belém - PA - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Estado,PA,BELÉM,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Em licitação de obra,30 de Junho de 2016,MULTIPOINT ((-48.504 -1.456)),0
quadra.fid--370298aa_15b3a2610e3_-62b7,37545,Quadras Esportivas nas Escolas - Belém - PA - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Estado,PA,BELÉM,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-48.504 -1.456)),0
quadra.fid--370298aa_15b3a2610e3_-62b6,37545,Quadras Esportivas nas Escolas - Belém - PA - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Estado,PA,BELÉM,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-48.504 -1.456)),0
quadra.fid--370298aa_15b3a2610e3_-62b5,37546,Quadras Esportivas nas Escolas - Belém - PA - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Estado,PA,BELÉM,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-48.504 -1.456)),0
quadra.fid--370298aa_15b3a2610e3_-62b4,37546,Quadras Esportivas nas Escolas - Belém - PA - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Estado,PA,BELÉM,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-48.504 -1.456)),0
quadra.fid--370298aa_15b3a2610e3_-62b3,37547,Quadras Esportivas nas Escolas - Belém - PA - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Estado,PA,BELÉM,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Em licitação de obra,30 de Junho de 2016,MULTIPOINT ((-48.504 -1.456)),0
quadra.fid--370298aa_15b3a2610e3_-62b2,37547,Quadras Esportivas nas Escolas - Belém - PA - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Estado,PA,BELÉM,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Em licitação de obra,30 de Junho de 2016,MULTIPOINT ((-48.504 -1.456)),0
quadra.fid--370298aa_15b3a2610e3_-62b1,37548,Quadras Esportivas nas Escolas - Belém - PA - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Estado,PA,BELÉM,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Em licitação de obra,30 de Junho de 2016,MULTIPOINT ((-48.504 -1.456)),0
quadra.fid--370298aa_15b3a2610e3_-62b0,37548,Quadras Esportivas nas Escolas - Belém - PA - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Estado,PA,BELÉM,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Em licitação de obra,30 de Junho de 2016,MULTIPOINT ((-48.504 -1.456)),0
quadra.fid--370298aa_15b3a2610e3_-62af,37549,Quadras Esportivas nas Escolas - Belém - PA - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Estado,PA,BELÉM,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Em licitação de obra,30 de Junho de 2016,MULTIPOINT ((-48.504 -1.456)),0
quadra.fid--370298aa_15b3a2610e3_-62ae,37549,Quadras Esportivas nas Escolas - Belém - PA - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Estado,PA,BELÉM,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Em licitação de obra,30 de Junho de 2016,MULTIPOINT ((-48.504 -1.456)),0
quadra.fid--370298aa_15b3a2610e3_-62ad,37550,Quadras Esportivas nas Escolas - Belém - PA - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Estado,PA,BELÉM,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Em licitação de obra,30 de Junho de 2016,MULTIPOINT ((-48.504 -1.456)),0
quadra.fid--370298aa_15b3a2610e3_-62ac,37550,Quadras Esportivas nas Escolas - Belém - PA - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Estado,PA,BELÉM,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Em licitação de obra,30 de Junho de 2016,MULTIPOINT ((-48.504 -1.456)),0
quadra.fid--370298aa_15b3a2610e3_-62ab,37551,Quadras Esportivas nas Escolas - Belém - PA - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Estado,PA,BELÉM,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Em licitação de obra,30 de Junho de 2016,MULTIPOINT ((-48.504 -1.456)),0
quadra.fid--370298aa_15b3a2610e3_-62aa,37551,Quadras Esportivas nas Escolas - Belém - PA - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Estado,PA,BELÉM,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Em licitação de obra,30 de Junho de 2016,MULTIPOINT ((-48.504 -1.456)),0
quadra.fid--370298aa_15b3a2610e3_-62a9,37552,Quadras Esportivas nas Escolas - Belém - PA - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Estado,PA,BELÉM,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Em licitação de obra,30 de Junho de 2016,MULTIPOINT ((-48.504 -1.456)),0
quadra.fid--370298aa_15b3a2610e3_-62a8,37552,Quadras Esportivas nas Escolas - Belém - PA - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Estado,PA,BELÉM,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Em licitação de obra,30 de Junho de 2016,MULTIPOINT ((-48.504 -1.456)),0
